"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "CSS", "JSON with Comments", "HTML", "JSON", "Markdown", "Prisma", "comment", "blank", "total"
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/.eslintrc.cjs", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 3, 36
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/.sanity/runtime/app.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 3, 12
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/.sanity/runtime/index.html", "HTML", 0, 0, 0, 0, 0, 169, 0, 0, 0, 4, 30, 203
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 12, 29
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/next.config.mjs", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 11, 2, 29
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/package.json", "JSON", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 1, 68
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/postcss.config.cjs", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/prettier.config.cjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 17, 2, 4, 23
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/sanity.cli.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 3, 11
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/sanity.config.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 7, 4, 26
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/sanity/env.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/Users/max/Documents/Legal/Mastela/Site/mastela-site/sanity/lib/image.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
