"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "JavaScript JSX", "CSS", "JSON with Comments", "JSON", "HTML", "YAML", "Markdown", "Prisma", "CSV", "comment", "blank", "total"
"/Users/max/Documents/Code/Websites/mastela-site/.eslintrc.cjs", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 37
"/Users/max/Documents/Code/Websites/mastela-site/.github/workflows/azure-static-web-apps-gentle-water-012f4a80f.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 4, 47
"/Users/max/Documents/Code/Websites/mastela-site/.sanity/runtime/app.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 12
"/Users/max/Documents/Code/Websites/mastela-site/.sanity/runtime/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 4, 30, 203
"/Users/max/Documents/Code/Websites/mastela-site/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"/Users/max/Documents/Code/Websites/mastela-site/next.config.mjs", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 31
"/Users/max/Documents/Code/Websites/mastela-site/package.json", "JSON", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 1, 76
"/Users/max/Documents/Code/Websites/mastela-site/postcss.config.cjs", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/max/Documents/Code/Websites/mastela-site/prettier.config.cjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/max/Documents/Code/Websites/mastela-site/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 2, 8, 65
"/Users/max/Documents/Code/Websites/mastela-site/reservations.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 93
"/Users/max/Documents/Code/Websites/mastela-site/sanity.cli.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 11
"/Users/max/Documents/Code/Websites/mastela-site/sanity.config.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 26
"/Users/max/Documents/Code/Websites/mastela-site/sanity/env.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/Users/max/Documents/Code/Websites/mastela-site/sanity/lib/image.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/max/Documents/Code/Websites/mastela-site/sanity/lib/sanityClient.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
