"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "JSON with Comments", "CSS", "JSON", "HTML", "Prisma", "Markdown", "comment", "blank", "total"
"/Users/max/Documents/Code/mastela-site/src/pages/cape-coral-guide/[slug].tsx", "TypeScript JSX", 243, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 255
"/Users/max/Documents/Code/mastela-site/src/pages/cape-coral-guide/index.tsx", "TypeScript JSX", 335, 0, 0, 0, 0, 0, 0, 0, 0, 17, 13, 365
"/Users/max/Documents/Code/mastela-site/src/pages/checkout.tsx", "TypeScript JSX", 386, 0, 0, 0, 0, 0, 0, 0, 0, 22, 40, 448
"/Users/max/Documents/Code/mastela-site/src/pages/contact.tsx", "TypeScript JSX", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 199
"/Users/max/Documents/Code/mastela-site/src/pages/index.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"/Users/max/Documents/Code/mastela-site/src/pages/our-villas.tsx", "TypeScript JSX", 122, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 133
"/Users/max/Documents/Code/mastela-site/src/pages/privacy.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"/Users/max/Documents/Code/mastela-site/src/pages/properties/[property].tsx", "TypeScript JSX", 620, 0, 0, 0, 0, 0, 0, 0, 0, 31, 72, 723
"/Users/max/Documents/Code/mastela-site/src/pages/refund-policy.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"/Users/max/Documents/Code/mastela-site/src/pages/search.tsx", "TypeScript JSX", 191, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 218
"/Users/max/Documents/Code/mastela-site/src/pages/studio/[[...index]].tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/max/Documents/Code/mastela-site/src/pages/terms.tsx", "TypeScript JSX", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 73
"/Users/max/Documents/Code/mastela-site/src/server/api/root.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 3, 17
"/Users/max/Documents/Code/mastela-site/src/server/api/routers/example.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
